14:39:08.155 [main] INFO  org.mongodb.driver.client -MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.19+10"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='imkishanverma_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@1cd2ff5b, com.mongodb.Jep395RecordCodecProvider@38ac8968, com.mongodb.KotlinCodecProvider@17ff8810]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.klby8uh.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-se9d8l-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
14:39:08.166 [cluster-ClusterId{value='6a1bfab4efc28a77dedc4ea0', description='Cluster0'}-srv-cluster0.klby8uh.mongodb.net] INFO  org.mongodb.driver.cluster -Adding discovered server ac-7sel588-shard-00-02.klby8uh.mongodb.net:27017 to client view of cluster
14:39:08.198 [cluster-ClusterId{value='6a1bfab4efc28a77dedc4ea0', description='Cluster0'}-srv-cluster0.klby8uh.mongodb.net] INFO  org.mongodb.driver.cluster -Adding discovered server ac-7sel588-shard-00-00.klby8uh.mongodb.net:27017 to client view of cluster
14:39:08.207 [cluster-ClusterId{value='6a1bfab4efc28a77dedc4ea0', description='Cluster0'}-srv-cluster0.klby8uh.mongodb.net] INFO  org.mongodb.driver.cluster -Adding discovered server ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017 to client view of cluster
14:39:08.787 [main] INFO  org.mongodb.driver.cluster -Waiting for server to become available for operation with ID 7. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-7sel588-shard-00-00.klby8uh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-7sel588-shard-00-02.klby8uh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
14:39:09.102 [cluster-ClusterId{value='6a1bfab4efc28a77dedc4ea0', description='Cluster0'}-ac-7sel588-shard-00-02.klby8uh.mongodb.net:27017] INFO  org.mongodb.driver.cluster -Monitor thread successfully connected to server with description ServerDescription{address=ac-7sel588-shard-00-02.klby8uh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=446066600, setName='atlas-se9d8l-shard-0', canonicalAddress=ac-7sel588-shard-00-02.klby8uh.mongodb.net:27017, hosts=[ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017, ac-7sel588-shard-00-02.klby8uh.mongodb.net:27017, ac-7sel588-shard-00-00.klby8uh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=68, topologyVersion=TopologyVersion{processId=6a11b0e673437c661ef2c0ed, counter=3}, lastWriteDate=Sun May 31 14:39:08 IST 2026, lastUpdateTimeNanos=603773056289100}
14:39:09.103 [cluster-ClusterId{value='6a1bfab4efc28a77dedc4ea0', description='Cluster0'}-ac-7sel588-shard-00-00.klby8uh.mongodb.net:27017] INFO  org.mongodb.driver.cluster -Monitor thread successfully connected to server with description ServerDescription{address=ac-7sel588-shard-00-00.klby8uh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=445514800, setName='atlas-se9d8l-shard-0', canonicalAddress=ac-7sel588-shard-00-00.klby8uh.mongodb.net:27017, hosts=[ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017, ac-7sel588-shard-00-02.klby8uh.mongodb.net:27017, ac-7sel588-shard-00-00.klby8uh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=68, topologyVersion=TopologyVersion{processId=6a11abc9c58df961a453aa20, counter=4}, lastWriteDate=Sun May 31 14:39:08 IST 2026, lastUpdateTimeNanos=603773055779800}
14:39:09.462 [cluster-ClusterId{value='6a1bfab4efc28a77dedc4ea0', description='Cluster0'}-ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017] INFO  org.mongodb.driver.cluster -Monitor thread successfully connected to server with description ServerDescription{address=ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=811271600, setName='atlas-se9d8l-shard-0', canonicalAddress=ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017, hosts=[ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017, ac-7sel588-shard-00-02.klby8uh.mongodb.net:27017, ac-7sel588-shard-00-00.klby8uh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000071, setVersion=68, topologyVersion=TopologyVersion{processId=6a11ae5c07ec5b81576f7837, counter=6}, lastWriteDate=Sun May 31 14:39:09 IST 2026, lastUpdateTimeNanos=603773419048300}
14:39:09.464 [cluster-ClusterId{value='6a1bfab4efc28a77dedc4ea0', description='Cluster0'}-ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017] INFO  org.mongodb.driver.cluster -Discovered replica set primary ac-7sel588-shard-00-01.klby8uh.mongodb.net:27017 with max election id 7fffffff0000000000000071 and max set version 68
14:39:12.816 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer -Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
14:39:12.817 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer -Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
14:39:13.173 [main] DEBUG o.s.s.web.DefaultSecurityFilterChain -Will secure any request with filters: DisableEncodeUrlFilter, WebAsyncManagerIntegrationFilter, SecurityContextHolderFilter, HeaderWriterFilter, LogoutFilter, BasicAuthenticationFilter, RequestCacheAwareFilter, SecurityContextHolderAwareRequestFilter, AnonymousAuthenticationFilter, SessionManagementFilter, ExceptionTranslationFilter, AuthorizationFilter
14:39:13.498 [main] INFO  o.a.coyote.http11.Http11NioProtocol -Starting ProtocolHandler ["http-nio-8081"]
14:39:13.515 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port 8081 (http) with context path '/'
14:39:13.526 [main] INFO  com.kishan.mongo.MongoApplication -Started MongoApplication in 9.147 seconds (process running for 10.215)
